row,column,value
1,1,1
1,1,1
2,1,1
2,1,1
11,1,1
12,1,1
12,1,1
13,1,2
32,1,1
33,1,1
34,1,1
34,1,1
2,2,1
2,2,1
13,2,1
14,2,1
34,2,1
35,2,1
3,3,1
3,3,1
14,3,1
15,3,2
36,3,1
37,3,1
4,4,1
15,4,1
38,4,1
4,5,2
5,5,1
5,5,1
5,5,1
5,5,1
16,5,1
16,5,1
17,5,3
17,5,2
17,5,1
39,5,1
40,5,1
41,5,1
42,5,1
42,5,1
5,6,1
18,6,1
43,6,1
5,7,1
6,7,1
6,7,1
19,7,1
19,7,1
20,7,1
43,7,1
44,7,1
45,7,1
6,8,2
21,8,1
46,8,1
6,9,1
7,9,1
22,9,2
22,9,1
47,9,1
48,9,1
8,10,1
8,10,1
9,10,1
9,10,1
9,10,1
9,10,1
9,10,1
10,10,1
11,10,2
11,10,1
23,10,1
24,10,3
25,10,1
26,10,2
26,10,1
27,10,1
28,10,1
29,10,1
30,10,1
31,10,1
49,10,1
49,10,1
50,10,1
